ID_TA,Rating,score1,score2,score3,score4,sum_score
d12354572,4.5,4.5,4.5,0.0,4.0,13.0
d953033,3.5,4.5,4.5,4.5,4.5,18.0
d6031001,4.5,3.5,4.0,4.0,3.0,14.5
d5799345,3.5,3.5,3.5,3.5,3.5,14.0
d5981466,4.0,4.0,4.0,3.5,4.0,15.5
d7276832,4.0,0.0,0.0,0.0,0.0,0.0
d12550964,2.0,4.0,4.0,0.0,4.0,12.0
d4150215,4.0,4.0,4.0,4.0,4.0,16.0
d7952588,4.0,4.5,3.5,3.0,5.0,16.0
d719083,4.5,4.0,4.0,4.0,3.0,15.0
d5408595,2.5,4.5,4.5,4.0,4.5,17.5
d12391114,4.0,3.5,3.5,0.0,4.0,11.0
d7332770,4.0,4.0,4.0,3.5,4.0,15.5
d1785149,4.0,4.0,3.0,0.0,3.0,10.0
d4588301,4.5,4.5,4.5,4.5,4.5,18.0
d7123553,4.5,4.5,4.0,0.0,4.5,13.0
d4295258,4.0,4.5,4.5,0.0,5.0,14.0
d697485,4.5,4.5,4.5,4.5,4.0,17.5
d4353632,4.0,4.5,4.5,0.0,4.5,13.5
d1035491,4.5,4.5,4.0,3.0,4.0,15.5
d12676684,4.5,5.0,4.5,0.0,4.5,14.0
d11770289,4.0,4.0,4.0,0.0,4.0,12.0
d5587837,4.0,4.5,4.5,0.0,4.5,13.5
d813990,4.5,4.5,4.5,4.5,4.5,18.0
d2259146,4.5,4.5,4.5,4.0,4.5,17.5
d10073699,3.5,4.5,4.0,4.0,4.0,16.5
d1099373,4.0,4.5,4.0,4.0,4.0,16.5
d797017,4.0,4.5,4.5,0.0,4.0,13.0
d11687952,4.5,4.5,4.0,4.0,4.0,16.5
d1019904,4.0,4.0,4.0,4.0,3.5,15.5
d4043773,4.0,4.5,4.5,0.0,4.0,13.0
d4226084,4.5,3.5,4.0,0.0,3.5,11.0
d13172414,5.0,4.5,4.5,4.5,4.0,17.5
d12911907,2.5,4.0,4.0,3.5,4.0,15.5
d3322305,4.0,4.0,4.0,4.0,3.5,15.5
d7805333,5.0,4.0,4.0,4.0,4.0,16.0
d6432242,4.5,4.5,5.0,5.0,4.5,19.0
d2478316,4.0,0.0,0.0,0.0,0.0,0.0
d4600249,3.5,3.5,3.5,3.5,3.5,14.0
d696117,4.5,4.5,4.0,4.0,4.0,16.5
d2176100,3.5,4.5,4.5,4.0,4.5,17.5
d3345223,3.0,4.0,4.0,4.0,4.0,16.0
d7361724,4.5,4.0,4.0,3.5,4.0,15.5
d5532357,4.5,4.0,4.5,0.0,4.0,12.5
d1359957,3.5,4.5,4.0,4.0,4.5,17.0
d2589168,3.5,4.0,3.5,3.5,3.5,14.5
d10027275,5.0,0.0,0.0,0.0,0.0,0.0
d1125197,3.5,4.5,4.5,4.5,4.0,17.5
d9459585,4.5,0.0,0.0,0.0,0.0,0.0
d5599563,4.5,0.0,0.0,0.0,0.0,0.0
d7623654,4.5,0.0,0.0,0.0,0.0,0.0
d2632522,4.0,4.0,4.0,3.5,3.5,15.0
d7332678,4.0,3.0,4.5,0.0,3.5,11.0
d10485816,4.5,4.5,3.5,0.0,4.0,12.0
d11688138,2.0,3.5,4.0,0.0,3.5,11.0
d5943832,3.5,3.5,3.5,4.0,3.5,14.5
d4768085,3.5,4.5,4.0,0.0,4.0,12.5
d2255569,4.5,4.5,4.5,0.0,4.0,13.0
d4597916,4.0,4.0,4.0,3.5,4.0,15.5
d7916036,4.5,5.0,5.0,0.0,4.5,14.5
d12350248,3.5,4.0,4.0,5.0,4.5,17.5
d1109944,3.5,5.0,5.0,0.0,5.0,15.0
d13197631,5.0,4.5,4.5,4.5,4.0,17.5
d918784,4.0,0.0,0.0,0.0,0.0,0.0
d8772965,3.5,4.0,4.0,3.5,4.0,15.5
d1324029,3.0,3.5,3.5,0.0,3.5,10.5
d6632829,4.0,4.5,4.5,4.0,3.5,16.5
d11667577,2.5,3.5,4.0,4.0,4.0,15.5
d12243659,5.0,3.0,3.0,2.5,3.0,11.5
d2445499,4.0,3.5,2.5,0.0,3.5,9.5
d2577881,3.5,4.0,4.0,3.5,3.5,15.0
d11951657,4.0,0.0,0.0,0.0,0.0,0.0
d751711,4.5,4.0,4.0,3.5,3.5,15.0
d3902868,3.5,4.0,4.0,4.0,4.0,16.0
d5487718,4.5,4.0,4.0,4.0,4.0,16.0
d7995801,1.0,4.0,4.0,0.0,3.5,11.5
d1331796,4.0,4.0,4.5,0.0,3.5,12.0
d8536895,4.0,4.5,5.0,4.5,4.5,18.5
d1328183,5.0,4.0,4.0,3.5,4.0,15.5
d10392913,4.0,3.0,3.0,3.5,3.0,12.5
d1097475,3.5,4.5,4.5,4.5,4.5,18.0
d7967318,3.5,4.0,4.0,4.5,4.0,16.5
d797737,4.0,0.0,0.0,0.0,0.0,0.0
d2226584,3.0,4.5,4.0,3.5,4.0,16.0
d13174390,5.0,4.0,4.0,4.0,4.0,16.0
d4052905,4.0,4.5,4.5,4.0,4.0,17.0
d5504724,3.5,4.5,4.5,4.0,4.5,17.5
d12681857,3.5,4.5,4.5,4.5,4.5,18.0
d7241440,2.5,4.0,4.0,3.5,4.0,15.5
d13094972,4.5,4.5,4.0,0.0,4.0,12.5
d5442784,4.5,5.0,5.0,0.0,5.0,15.0
d4942642,4.0,0.0,0.0,0.0,0.0,0.0
d2524119,4.5,4.0,4.5,4.5,3.5,16.5
d4770241,3.0,4.5,4.5,4.5,4.5,18.0
d8797372,4.0,4.5,4.5,4.5,4.0,17.5
d1496204,4.5,4.0,4.5,3.5,4.0,16.0
d11754798,4.0,4.5,4.5,3.5,4.5,17.0
d4085056,5.0,3.5,3.5,3.0,4.0,14.0
d12867794,4.0,4.5,4.0,0.0,4.5,13.0
d779921,4.5,4.0,4.5,4.5,4.0,17.0
d8118086,4.5,4.0,3.5,3.5,3.0,14.0
d2321047,4.0,3.5,4.0,4.0,3.5,15.0
d7994738,3.0,4.5,4.5,0.0,4.0,13.0
d10226097,3.5,4.5,5.0,0.0,4.5,14.0
d3612769,4.0,4.5,4.5,0.0,4.5,13.5
d697526,2.5,4.5,4.5,4.0,4.5,17.5
d10619071,4.5,4.5,4.5,0.0,4.5,13.5
d4600226,5.0,4.0,4.0,3.5,4.0,15.5
d10064175,4.5,4.5,4.5,4.5,4.0,17.5
d4476199,4.0,4.0,4.0,3.5,3.5,15.0
d9714837,4.5,5.0,5.0,0.0,5.0,15.0
d6403079,3.0,4.5,4.5,4.0,4.0,17.0
d5867903,4.5,4.5,4.5,0.0,3.5,12.5
d680500,3.5,4.0,4.5,4.5,4.0,17.0
d12111665,4.0,4.5,4.5,4.5,4.0,17.5
d5058767,4.5,4.0,4.0,0.0,4.0,12.0
d12949592,4.5,4.0,4.0,0.0,3.5,11.5
d13087286,5.0,0.0,0.0,0.0,0.0,0.0
d3671977,4.5,4.5,4.5,4.5,4.5,18.0
d1341738,4.0,4.0,4.0,0.0,4.5,12.5
d12556149,4.0,4.5,4.5,4.0,4.5,17.5
d11999809,5.0,4.0,4.5,4.5,4.0,17.0
d12710453,4.5,5.0,5.0,0.0,4.5,14.5
d4093614,4.5,4.0,4.5,0.0,4.0,12.5
d11995686,5.0,4.5,4.5,4.5,4.5,18.0
d694885,4.5,4.0,4.5,4.5,4.0,17.0
d2470800,4.5,4.0,4.0,4.0,4.5,16.5
d13284434,5.0,4.5,4.0,0.0,4.5,13.0
d13206789,4.5,3.5,3.0,0.0,3.0,9.5
d10336129,4.0,4.5,4.0,0.0,4.0,12.5
d4068550,3.5,0.0,0.0,0.0,0.0,0.0
d807906,4.0,4.0,4.0,3.5,3.5,15.0
d11998026,3.5,4.5,4.5,4.0,4.5,17.5
d11721387,4.5,4.5,4.5,0.0,4.5,13.5
d10498197,3.5,4.0,3.0,3.0,4.0,14.0
d12441400,3.5,4.5,4.5,0.0,4.0,13.0
d2722599,3.5,4.5,4.5,4.0,4.0,17.0
d7949523,3.5,4.0,4.5,4.5,3.5,16.5
d8734791,4.5,0.0,0.0,0.0,0.0,0.0
d2328380,4.0,3.5,3.5,3.5,3.5,14.0
d12068247,4.0,3.5,3.5,3.0,3.0,13.0
d10520643,2.5,0.0,0.0,0.0,0.0,0.0
d8401717,3.5,4.5,4.5,4.5,4.0,17.5
d2424319,5.0,4.5,4.5,4.0,4.5,17.5
d10677156,4.0,4.5,4.5,4.5,4.5,18.0
d9562461,4.0,0.0,0.0,0.0,0.0,0.0
d5979704,4.0,3.5,4.0,0.0,3.5,11.0
d13139218,4.0,3.0,3.0,0.0,3.0,9.0
d7214349,4.0,4.5,4.5,4.0,4.0,17.0
d3193915,5.0,4.5,4.5,4.5,4.0,17.5
d3691545,4.5,3.5,3.5,3.5,3.0,13.5
d795702,4.0,4.0,4.0,4.0,3.5,15.5
d2697097,4.5,4.5,4.5,0.0,4.5,13.5
d8124300,4.5,4.0,4.5,4.5,4.0,17.0
d3316640,4.0,3.5,4.0,3.5,3.5,14.5
d13001826,3.5,3.5,3.5,3.5,3.5,14.0
d793183,4.0,4.5,4.5,0.0,5.0,14.0
d12181566,4.0,0.0,0.0,0.0,0.0,0.0
d10242690,4.0,4.5,5.0,4.0,4.5,18.0
d7243246,2.0,0.0,0.0,0.0,0.0,0.0
d733450,4.5,4.5,4.5,4.0,4.0,17.0
d4014123,4.0,4.0,4.5,3.5,4.0,16.0
d10735345,2.5,2.5,3.0,0.0,3.5,9.0
d13198202,4.5,4.0,4.0,0.0,4.0,12.0
d5532050,4.0,4.0,4.0,0.0,4.5,12.5
d2085183,3.0,4.5,4.5,4.5,4.5,18.0
d6946964,4.5,2.5,2.0,0.0,2.5,7.0
d8661176,4.0,4.0,3.5,4.0,3.5,15.0
d8293300,3.0,0.0,0.0,0.0,0.0,0.0
d3873744,4.5,4.0,4.5,4.5,4.0,17.0
d12667708,5.0,4.5,4.5,4.0,4.5,17.5
d5322631,4.0,0.0,0.0,0.0,0.0,0.0
d734267,3.5,0.0,0.0,0.0,0.0,0.0
d719805,4.0,3.0,3.5,0.0,3.0,9.5
d4185485,4.0,0.0,0.0,0.0,0.0,0.0
d3849968,4.0,0.0,0.0,0.0,0.0,0.0
d11903856,4.5,4.5,5.0,0.0,4.5,14.0
d8660001,5.0,3.5,3.5,4.0,3.5,14.5
d4844610,4.5,4.0,4.5,0.0,4.5,13.0
d6519298,4.0,4.5,4.0,0.0,5.0,13.5
d11909263,4.5,4.0,4.0,0.0,3.5,11.5
d12999507,4.0,4.5,4.5,0.0,4.0,13.0
d12336001,4.5,4.5,4.5,4.5,4.0,17.5
d12254437,4.5,4.0,4.5,0.0,4.0,12.5
d2188472,4.5,4.0,4.5,0.0,4.0,12.5
d1347837,4.5,4.0,4.5,0.0,5.0,13.5
d8261215,3.5,4.5,4.5,4.0,4.0,17.0
d9741389,4.5,0.0,0.0,0.0,0.0,0.0
d8319709,4.0,4.0,4.0,4.0,4.0,16.0
d12572658,5.0,4.0,4.0,4.0,3.5,15.5
d12488103,4.5,4.5,4.0,4.0,4.5,17.0
d8857488,4.0,4.0,4.5,4.0,4.5,17.0
d4023512,4.0,3.5,4.0,4.0,4.0,15.5
d5264177,4.5,4.5,4.5,4.5,4.0,17.5
d1096951,2.0,4.0,4.0,4.0,3.5,15.5
d4946996,4.0,4.5,4.5,4.0,4.5,17.5
d1388962,3.5,4.5,4.5,0.0,3.5,12.5
d696038,4.5,0.0,0.0,0.0,0.0,0.0
d10070252,5.0,5.0,5.0,0.0,5.0,15.0
d10072291,4.5,5.0,4.5,4.5,4.5,18.5
d4814839,5.0,0.0,0.0,0.0,0.0,0.0
d11914515,4.5,5.0,5.0,0.0,5.0,15.0
d12598141,4.5,4.5,4.5,4.5,4.5,18.0
d1877226,4.5,4.5,4.5,0.0,4.0,13.0
d6703191,3.5,4.0,4.0,0.0,4.0,12.0
d5822584,3.5,4.0,4.0,4.0,3.5,15.5
d3912269,4.0,4.0,4.0,4.5,4.0,16.5
d3393987,4.0,4.5,4.5,4.5,4.5,18.0
d8729508,4.5,4.5,4.5,3.5,4.0,16.5
d1074698,4.0,0.0,0.0,0.0,0.0,0.0
d1953294,4.0,5.0,4.5,0.0,4.0,13.5
d10385156,4.0,4.5,4.5,4.5,4.0,17.5
d2011853,3.0,4.0,4.0,4.0,4.0,16.0
d3181518,4.0,3.5,3.0,4.0,3.0,13.5
d4961398,3.5,3.5,3.5,3.5,3.5,14.0
d1324782,3.5,4.0,4.5,4.0,4.0,16.5
d4506544,4.0,4.0,4.0,4.0,3.5,15.5
d5949148,4.5,4.5,4.0,3.5,3.0,15.0
d6603135,4.5,3.5,3.5,2.5,3.5,13.0
d715001,3.5,4.5,4.5,4.0,4.5,17.5
d4093995,3.5,4.0,4.0,3.5,4.0,15.5
d7359557,4.5,4.0,4.0,4.0,3.5,15.5
d5796187,3.0,4.0,3.5,0.0,4.0,11.5
d8635738,4.0,5.0,4.5,0.0,4.5,14.0
d3191302,4.5,0.0,0.0,0.0,0.0,0.0
d7621848,4.0,4.0,4.0,4.0,3.5,15.5
d2524764,3.5,4.5,4.5,0.0,4.0,13.0
d13064730,3.5,4.5,4.5,0.0,4.5,13.5
d719718,4.0,4.0,4.0,4.0,4.0,16.0
d5795989,4.0,0.0,0.0,0.0,0.0,0.0
d3192609,4.0,4.5,4.5,4.0,4.5,17.5
d5976718,4.0,4.5,4.5,4.5,4.0,17.5
d804943,4.0,4.0,4.0,4.0,4.0,16.0
d941095,3.5,5.0,4.5,0.0,4.5,14.0
d4436498,3.5,0.0,0.0,0.0,0.0,0.0
d8339930,4.0,3.5,4.0,4.0,3.5,15.0
d12875225,4.0,4.5,4.5,3.5,4.5,17.0
d6278406,3.5,4.5,4.5,4.0,4.0,17.0
d10039662,4.5,0.0,0.0,0.0,0.0,0.0
d811284,3.5,4.5,4.0,4.0,3.5,16.0
d5414878,4.0,3.5,3.5,3.5,3.0,13.5
d1035596,3.5,4.5,4.5,0.0,4.5,13.5
d953657,4.0,4.5,4.0,0.0,4.5,13.0
d12512228,4.5,4.5,4.0,0.0,4.0,12.5
d6206971,4.5,3.5,4.0,4.5,3.0,15.0
d3729391,4.5,3.5,3.5,3.5,3.5,14.0
d3970522,4.5,0.0,0.0,0.0,0.0,0.0
d10230660,4.5,4.5,4.5,4.5,4.0,17.5
d9984284,4.5,0.0,0.0,0.0,0.0,0.0
d785995,4.5,4.0,4.0,4.5,4.0,16.5
d4182633,4.0,3.5,3.5,3.5,3.5,14.0
d3405673,3.0,4.5,4.5,4.5,4.0,17.5
d10383695,3.5,0.0,0.0,0.0,0.0,0.0
d1489269,4.0,0.0,0.0,0.0,0.0,0.0
d1340332,4.0,4.5,4.5,0.0,4.5,13.5
d7146900,4.0,4.0,4.0,4.0,4.0,16.0
d2098938,3.5,5.0,4.5,0.0,4.5,14.0
d10533412,3.5,0.0,0.0,0.0,0.0,0.0
d10354665,4.5,3.5,3.0,0.0,4.0,10.5
d803842,4.0,4.0,4.0,3.5,3.5,15.0
d2477240,4.0,4.0,4.0,4.0,4.0,16.0
d1080720,4.0,4.5,4.5,0.0,4.0,13.0
d4293803,4.0,4.5,4.5,4.5,4.0,17.5
d780673,4.0,5.0,5.0,0.0,4.5,14.5
d4727188,3.5,4.5,4.5,0.0,4.5,13.5
d1103441,4.0,4.0,4.0,4.0,4.0,16.0
d1901926,3.5,4.5,4.0,4.5,4.0,17.0
d718909,3.0,4.5,4.5,3.5,4.0,16.5
d12423010,4.5,3.5,4.0,0.0,3.5,11.0
d13162505,4.0,4.0,4.0,0.0,4.0,12.0
d5872756,4.5,4.5,4.5,4.0,3.5,16.5
d3537392,4.5,4.5,4.5,4.0,4.0,17.0
d8599829,4.5,4.0,4.5,0.0,3.5,12.0
d12310002,3.5,3.5,4.0,0.0,3.5,11.0
d4585716,4.0,4.5,4.5,0.0,4.5,13.5
d10760580,4.0,4.0,4.0,3.5,3.5,15.0
d11888740,4.0,4.5,4.5,4.5,4.0,17.5
d8841562,4.0,3.5,4.0,4.0,4.0,15.5
d1039687,4.5,4.0,4.0,0.0,3.5,11.5
d2096546,4.0,0.0,0.0,0.0,0.0,0.0
d7734583,4.0,4.5,4.0,4.0,4.0,16.5
d6883153,4.0,4.0,3.0,0.0,4.0,11.0
d6672773,4.0,4.5,4.5,0.0,4.0,13.0
d6949479,4.0,4.5,4.5,4.0,4.5,17.5
d4211999,4.0,4.0,3.5,4.5,3.5,15.5
d4556019,4.0,4.0,4.0,4.0,4.0,16.0
d12049003,5.0,4.5,4.5,0.0,4.5,13.5
d12538734,4.5,4.5,5.0,4.5,4.0,18.0
d4930739,4.0,4.5,4.0,4.0,3.5,16.0
d10678700,4.5,4.5,4.5,3.5,4.0,16.5
d4697825,4.5,4.0,4.5,4.0,4.5,17.0
d944247,4.0,0.0,0.0,0.0,0.0,0.0
d695083,4.0,4.0,4.0,4.0,4.0,16.0
d4098079,3.0,4.0,4.0,4.0,4.0,16.0
d10395526,4.5,4.5,4.5,4.5,4.0,17.5
d789885,3.5,4.5,4.5,4.5,4.5,18.0
d4770088,3.5,4.0,3.5,3.5,4.0,15.0
d10331391,4.0,3.5,3.5,4.0,3.5,14.5
d1774775,4.0,4.0,3.5,4.0,3.5,15.0
d2323613,4.0,0.0,0.0,0.0,0.0,0.0
d12995806,4.5,5.0,5.0,0.0,4.5,14.5
d4748988,4.0,3.5,3.5,3.5,3.5,14.0
d3735127,3.5,4.0,4.5,0.0,4.0,12.5
d4591733,4.0,4.0,4.0,0.0,3.0,11.0
d813285,4.5,0.0,0.0,0.0,0.0,0.0
d6868018,3.5,3.5,3.5,0.0,3.5,10.5
d3242259,3.0,4.0,3.5,3.0,3.5,14.0
d6698437,4.5,3.5,4.0,4.0,3.5,15.0
d8736586,4.0,4.5,5.0,0.0,4.5,14.0
d1507237,3.5,4.5,4.0,4.0,4.0,16.5
d12384552,5.0,3.5,3.5,3.5,3.5,14.0
d3179035,2.0,4.0,4.5,4.0,4.0,16.5
d1545969,4.5,4.5,4.0,0.0,3.5,12.0
d1385082,3.5,4.5,4.5,4.5,4.5,18.0
d12081682,4.5,4.0,4.0,4.0,3.5,15.5
d779071,4.0,4.0,4.5,4.0,4.0,16.5
d5536153,4.5,4.0,4.0,4.0,3.5,15.5
d8415205,4.0,5.0,4.5,0.0,5.0,14.5
d1965515,4.5,3.5,4.0,4.0,3.5,15.0
d1231908,4.0,4.0,4.5,0.0,4.0,12.5
d5122063,3.5,4.5,4.0,3.5,4.5,16.5
d2320137,3.5,4.5,4.5,4.5,4.5,18.0
d1906552,4.0,4.0,4.0,0.0,4.0,12.0
d2484423,3.5,0.0,0.0,0.0,0.0,0.0
d7995957,4.0,3.5,3.5,4.0,4.0,15.0
d781928,4.0,4.0,4.5,4.0,4.0,16.5
d2204143,3.0,0.0,0.0,0.0,0.0,0.0
d10430050,3.0,4.0,4.0,4.5,3.5,16.0
d4268309,3.5,4.0,4.0,4.0,4.0,16.0
d5869951,3.0,4.5,4.5,4.5,4.5,18.0
d7730921,4.5,4.5,4.5,4.0,4.5,17.5
d1488977,4.0,4.5,4.5,4.0,4.5,17.5
d10724032,4.0,0.0,0.0,0.0,0.0,0.0
d3773630,4.0,5.0,5.0,0.0,4.5,14.5
d4769401,4.0,3.5,3.5,4.0,3.0,14.0
d12997561,4.5,5.0,4.5,4.5,4.5,18.5
d12170386,4.0,0.0,0.0,0.0,0.0,0.0
d798936,4.0,0.0,0.0,0.0,0.0,0.0
d3385038,4.0,4.0,4.0,4.0,4.0,16.0
d8602690,4.0,4.0,4.5,4.0,4.0,16.5
d8092415,4.0,4.0,4.5,4.0,4.0,16.5
d12359266,4.0,4.5,4.5,4.0,4.5,17.5
d3266560,4.0,4.0,4.5,0.0,3.5,12.0
d1874776,4.0,3.5,3.5,4.0,3.0,14.0
d12114896,4.0,4.0,4.0,3.5,4.0,15.5
d4133931,2.5,4.5,4.5,4.0,4.5,17.5
d5965027,4.5,4.0,4.0,3.0,3.5,14.5
d11923374,4.5,4.5,4.5,4.5,4.5,18.0
d1992130,3.5,2.0,2.0,1.5,2.0,7.5
d5865146,4.5,4.0,4.0,3.5,3.5,15.0
d1417391,3.5,4.0,4.0,3.5,4.0,15.5
d775579,4.0,4.5,4.5,4.5,4.5,18.0
d7336387,4.0,0.0,0.0,0.0,0.0,0.0
d7707930,4.5,4.5,5.0,0.0,4.5,14.0
d1820729,4.0,4.5,4.5,4.5,4.0,17.5
d3319308,3.5,0.0,0.0,0.0,0.0,0.0
d997803,3.0,4.0,4.0,4.0,3.5,15.5
d2625256,3.0,0.0,0.0,0.0,0.0,0.0
d959162,3.0,0.0,0.0,0.0,0.0,0.0
d12089348,4.5,4.5,4.5,0.0,4.5,13.5
d8591395,5.0,3.0,2.5,2.5,3.5,11.5
d9746677,4.5,0.0,0.0,0.0,0.0,0.0
d8774485,4.0,0.0,0.0,0.0,0.0,0.0
d12548187,4.5,4.0,3.5,3.0,4.0,14.5
d743790,4.0,4.0,4.5,4.0,4.0,16.5
d11749991,3.5,3.0,3.5,3.5,3.5,13.5
d782237,4.5,4.0,4.0,4.0,4.0,16.0
d2494164,4.0,4.5,4.5,3.5,4.5,17.0
d12113037,4.0,4.5,4.5,4.0,4.0,17.0
d8362340,4.5,4.5,4.0,0.0,4.0,12.5
d2046169,4.0,4.5,4.5,4.0,4.5,17.5
d8125299,4.5,4.5,4.5,4.5,4.0,17.5
d6530816,3.5,0.0,0.0,0.0,0.0,0.0
d12321528,3.5,4.5,4.0,4.0,4.0,16.5
d4956063,4.5,4.0,4.5,4.5,4.0,17.0
d3547447,4.0,4.0,3.5,3.5,3.5,14.5
d4054080,4.0,0.0,0.0,0.0,0.0,0.0
d8339764,4.5,0.0,0.0,0.0,0.0,0.0
d5442851,4.0,4.0,4.0,0.0,3.5,11.5
d9456227,3.5,4.0,4.0,4.5,4.0,16.5
d780485,4.5,0.0,0.0,0.0,0.0,0.0
d6618276,3.5,3.5,3.5,4.0,3.0,14.0
d784491,4.5,4.0,4.0,0.0,3.5,11.5
d7097810,4.5,4.5,4.5,4.0,4.0,17.0
d7996902,1.0,4.0,4.5,4.5,4.0,17.0
d3567816,4.0,4.5,4.5,0.0,4.0,13.0
d1119896,3.5,0.0,0.0,0.0,0.0,0.0
d1354477,5.0,0.0,0.0,0.0,0.0,0.0
d3218566,4.5,4.5,4.0,4.0,4.5,17.0
d1519258,3.5,3.5,3.5,3.0,3.0,13.0
d10292470,4.5,4.5,4.5,3.5,4.5,17.0
d8381040,2.5,4.5,4.5,0.0,4.0,13.0
d8121703,4.5,4.5,4.5,4.0,4.0,17.0
d10840545,4.5,4.5,4.5,3.5,4.0,16.5
d3535931,3.0,0.0,0.0,0.0,0.0,0.0
d11958460,3.0,4.5,4.0,4.5,4.0,17.0
d719923,4.0,4.0,4.5,0.0,4.5,13.0
d2179945,3.5,3.5,4.0,4.0,4.0,15.5
d8073030,4.0,4.5,4.5,4.5,4.5,18.0
d8580982,3.5,4.0,3.5,3.5,3.0,14.0
d11666969,3.0,0.0,0.0,0.0,0.0,0.0
d7990468,4.5,4.5,5.0,0.0,4.5,14.0
d5936523,3.5,4.0,4.0,3.5,4.0,15.5
d12098434,4.0,4.0,4.0,0.0,4.0,12.0
d10814311,5.0,4.5,4.5,4.0,4.5,17.5
d1648922,4.0,4.0,4.0,4.0,4.0,16.0
d10079338,5.0,4.5,5.0,0.0,4.5,14.0
d733353,3.5,4.5,4.5,0.0,5.0,14.0
d720652,3.5,4.0,4.0,4.0,4.0,16.0
d1097059,2.5,4.5,4.5,4.5,4.5,18.0
d12842987,2.0,0.0,0.0,0.0,0.0,0.0
d1771808,3.5,4.0,4.0,0.0,3.5,11.5
d3327962,4.5,4.5,4.5,4.5,4.0,17.5
d1097463,4.0,4.5,4.5,0.0,4.5,13.5
d2490014,4.0,4.5,4.5,0.0,4.5,13.5
d5522488,3.5,4.0,4.5,4.0,4.0,16.5
d12945640,4.5,4.5,4.5,0.0,4.5,13.5
d10445344,5.0,4.0,4.0,4.0,3.5,15.5
d7092943,3.5,4.5,4.5,0.0,4.0,13.0
d13001385,5.0,4.5,4.5,0.0,4.5,13.5
d10288341,4.5,4.0,4.5,4.0,4.0,16.5
d10903502,4.5,0.0,0.0,0.0,0.0,0.0
d2208132,4.0,4.0,3.5,2.5,3.5,13.5
d779012,3.5,3.5,3.0,0.0,3.0,9.5
d6780578,4.0,4.0,4.0,0.0,4.0,12.0
d1327268,3.5,4.5,4.0,0.0,4.0,12.5
d4593810,4.5,4.0,4.5,4.5,4.5,17.5
d12428801,4.5,4.5,4.5,4.0,4.5,17.5
d13226281,5.0,4.5,4.5,0.0,4.5,13.5
d2100338,2.5,4.5,4.5,4.0,4.5,17.5
d1360884,4.0,4.5,4.0,4.5,4.0,17.0
d4324827,4.5,0.0,0.0,0.0,0.0,0.0
d4156673,3.5,4.5,4.0,4.0,3.5,16.0
d12229735,5.0,0.0,0.0,0.0,0.0,0.0
d12481552,5.0,4.0,4.0,0.0,4.0,12.0
d5787627,4.0,3.0,3.0,0.0,2.5,8.5
d4781734,4.5,4.5,4.5,0.0,4.0,13.0
d7992689,3.5,4.0,4.0,4.0,4.0,16.0
d4769383,4.0,3.5,3.5,4.0,3.5,14.5
d4185793,3.5,4.5,4.5,0.0,4.5,13.5
d2361013,3.0,4.0,4.0,4.5,4.0,16.5
d1043805,5.0,4.5,4.5,0.0,4.0,13.0
